researcher_id;project_id
12;24
30;24
61;24
90;24
68;24
23;24
40;24
74;24
94;24
10;25
27;25
30;25
43;25
120;25
13;25
33;25
49;25
63;25
1;25
65;25
68;25
93;25
114;25
69;25
97;25
116;25
104;25
9;25
24;25
34;25
54;25
76;25
5;25
19;25
4;25
11;25
66;25
12;25
87;25
92;25
23;26
20;26
25;26
40;26
50;26
66;26
78;26
79;26
117;26
62;26
8;26
56;26
85;26
115;26
40;26
110;26
8;26
36;26
17;26
38;26
104;26
22;26
37;26
53;26
72;26
76;26
9;26
27;26
71;26
74;26
83;26
61;26
65;26
86;26
107;26
98;26
110;26
3;27
4;27
14;27
55;27
39;27
50;27
53;27
84;27
117;27
32;27
70;27
98;27
5;27
23;27
24;27
56;27
105;27
10;27
61;27
72;27
10;27
73;27
44;27
88;27
94;27
98;27
46;28
108;28
15;28
31;28
92;28
54;28
9;28
53;28
59;28
66;28
3;28
6;28
66;28
42;28
67;28
69;28
74;28
99;28
13;28
26;28
35;28
47;28
57;28
104;28
16;28
54;28
120;28
62;28
108;28
56;28
76;28
62;29
5;29
18;29
28;29
105;29
15;29
20;29
73;29
37;29
50;29
60;29
13;29
66;29
80;29
93;29
71;29
83;29
88;29
14;29
32;29
75;29
111;29
86;29
97;29
114;29
12;29
63;30
72;30
8;30
47;30
110;30
25;30
41;30
89;30
99;30
74;30
81;30
1;30
3;30
13;30
31;30
52;30
16;30
18;30
53;30
96;30
106;30
115;30
116;30
15;30
87;30
98;30
2;30
35;30
37;30
65;30
11;30
53;30
78;30
117;30
22;30
34;30
40;30
43;30
56;30
87;31
76;31
95;31
40;31
91;31
30;31
70;31
86;31
115;31
43;31
47;31
103;31
119;31
4;31
30;31
45;31
1;31
42;31
103;31
54;31
73;31
20;31
48;31
61;31
102;32
104;32
115;32
93;32
117;32
16;32
42;32
10;32
17;32
48;32
49;32
48;32
111;32
40;32
19;32
34;32
60;32
76;32
79;32
115;32
81;32
92;32
84;33
106;33
29;33
57;33
9;33
20;33
52;33
72;33
80;33
95;33
18;33
28;33
71;33
84;33
87;33
30;33
58;33
60;33
14;33
32;33
73;33
37;33
83;33
85;33
26;34
42;34
67;34
111;34
21;34
56;34
20;34
69;34
73;34
107;34
16;34
79;34
68;34
70;34
46;34
48;34
114;34
54;34
15;35
40;35
71;35
23;35
64;35
76;35
78;35
87;35
90;35
51;35
54;35
95;35
107;35
62;35
77;35
16;35
35;35
44;35
58;35
90;35
94;35
64;35
75;35
105;36
113;36
72;36
22;36
28;36
61;36
94;36
100;36
18;36
41;36
119;36
82;36
32;36
53;36
118;36
8;36
23;36
69;36
51;36
2;36
35;36
54;36
88;36
23;36
79;36
117;36
82;37
38;37
49;37
16;37
17;37
35;37
42;37
75;37
10;37
89;37
99;37
5;37
22;37
96;37
41;37
57;37
59;37
73;37
117;37
39;37
71;37
75;37
114;37
48;37
84;37
3;37
8;37
20;37
69;37
78;37
4;37
50;37
90;37
61;37
83;37
6;37
37;38
44;38
42;38
44;38
65;38
43;38
79;38
97;38
111;38
26;38
60;38
116;38
35;38
48;38
71;38
108;38
120;38
22;38
52;38
5;38
33;38
49;38
92;38
2;38
50;38
105;38
56;38
96;38
101;38
46;38
85;38
3;38
26;38
118;38
13;39
90;39
36;39
52;39
70;39
11;39
57;39
63;39
26;39
45;39
47;39
68;39
87;39
113;39
1;39
19;39
67;39
108;39
118;39
6;39
7;39
12;39
18;39
64;39
99;39
56;39
107;39
20;39
8;40
120;40
16;40
21;40
34;40
80;40
12;40
51;40
13;40
98;40
4;40
55;40
74;40
91;40
92;40
27;40
30;40
45;40
81;40
93;40
111;40
2;40
37;40
64;40
109;40
115;40
120;40
11;40
78;40
82;40
39;40
99;40
44;40
65;40
58;41
45;41
108;41
63;41
19;42
61;42
76;42
118;42
23;42
81;42
17;43
67;43
1;43
86;43
97;43
37;43
2;44
74;44
81;44
48;44
38;44
52;44
58;44
102;44
48;44
94;44
60;45
96;45
115;45
36;45
75;45
45;45
22;46
39;46
73;46
34;46
36;46
45;46
57;47
7;47
55;47
49;47
50;47
113;47
63;47
52;47
39;47
91;48
97;48
79;48
52;48
7;49
111;49
101;49
54;49
41;49
54;50
85;50
2;50
58;50
29;50
89;50
85;50
91;50
22;50
96;50
16;50
57;50
82;50
36;51
52;51
115;51
119;51
29;51
33;51
30;51
64;52
59;52
24;52
83;53
88;53
26;53
27;53
25;53
92;54
107;54
73;54
111;54
33;55
86;55
120;55
25;55
47;56
99;56
46;56
66;56
72;56
50;57
59;57
87;57
34;57
65;57
113;57
51;58
92;58
22;58
96;58
18;58
19;58
33;58
19;59
108;59
77;59
37;59
28;59
26;59
45;59
79;60
101;60
108;60
82;60
80;60
98;60
115;60
81;60
